from_name,to_name,safety_related
Alternate Id,id_address,
Response ID,id,
1. Respondent address (include apartment number if there is one),address,
2. How long have you lived in the Northeast Wilmington community?,tenure,
3. Which of these was the primary reason you decided to live in this community?,reason,
"4. Overall, considering everything, how satisfied would you say you are living in this community?",satisfied,
"5. Right now, how likely are you to recommend this community to someone else as a good place to live?",recommend,
"6. If you had the choice, would you continue to live in this community?",continue,
"Participated in a community, resident, or tenant association",participated_association,
Volunteered to help others in the community,participated_volunteer,
"Participated in a community improvement project, such as a clean-up, community gardening, or other beautification effort",participated_improvement,
"Supported local business events, such as a sidewalk sale or ""shop local"" day",participated_local_business,
"Participated in an organized community social event, such as a festival, block party, or other celebration",participated_social_event,
"Supported a local political organization, candidate, or ballot initiative",participated_political_orgs,
"Participated in an advocacy group, such as a school parent-teacher association, environmental organization, or labor union",participated_advocacy,
"Personally took action to improve the community, such as reporting a hazard or contacting authorities about an incident",participated_personal_action,
You needed a ride somewhere,helping_ride,
"You needed a favor, such as picking up mail or borrowing a tool",helping_favor,
An elderly neighbor needed someone to periodically check on him or her,helping_elderly,
A neighbor needed someone to take care of a child in an emergency,helping_childcare,
"9. If something is wrong in my neighborhood, I know that the people who live here will try to fix it.",neighborhood_fix,
"10. How much of a positive difference do you feel that you, yourself, can make in your community? ",can_make_difference,
11. Please tell us why you feel this way.,can_make_difference_why,
Cleanliness of the community,community_cleanliness,
Physical condition of homes in the community,community_homes,
"Physical condition of streets, sidewalks, and public spaces in the community",community_streets,
Safety in the community,community_safety,TRUE
Friendliness of neighbors in the community,community_friendliness,
Quality of public services in the community,community_public_services,
Variety of goods and services available for purchase in the community,community_purchases,
Access to transportation,community_transportation,
Access to employment centers,community_employment_center,
Affordability of homes or apartments in the community,community_affordability,
"13. Compared to three years ago, how has this community changed overall?",changed_3years,
14. Please describe why you feel this way.,changed_3years_why,
15. How often do you shop locally at businesses located within the Northeast Wilmington Community?,shop_locally,
Food Lion (4401 Governor Printz Blvd),shop_food_lion,
Acme (1401 N Dupont St),shop_acme_dupont,
ShopRite of Christina Crossing (501 S Walnut St),shop_shoprite,
The Fresh Grocer of Adams Plaza (800 W 4th St),shop_fresh_grocer,
Save A Lot (1422 Lancaster Ave),shop_save_a_lot,
Acme (1901 Concord Pike),shop_acme_concord ,
Riverfront Market (3 S Orange St),shop_riverfront,
Delaware Avenue Farmers' Market,shop_del_ave_fm,
Downtown Wilmington Farmers' Market at Rodney Square,shop_downtown_fm,
Other...46,shop_other,
Improved sidewalks,printz_sidewalks,
"Safer, more visible crosswalks",printz_crosswalks,
More trash and recycling receptacles,printz_trash,
"Enhanced bus stop waiting environments (e.g. benches, shelter/cover)",printz_bus_stop,
