year,source_file,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,occupied_units
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040201,7,Public Housing,2,NA,DE Delaware Kent County 040201,10001040201,32,100,32,100,5,3,1,33,251,889,10635,10313,9,38,38,16,,3,3,94,23,100,81,,,50,,79,50,73,22,22,44,13,,63,56,,,38,,3,3,6,0,,75,100,148,100,,,,12,30,53,NA,20100,15440,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,32
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040203,7,Public Housing,2,NA,DE Delaware Kent County 040203,10001040203,51,96,49,100,4,20,2.8,139,375,889,21742,7664,4,31,18,18,29,43,8,49,37,78,63,10,55,80,57,50,100,22,10,59,29,2,,78,69,,2,22,,,6,6,0,,56,100,170,24,35,41,2,11,40,56,NA,20100,99999,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,49
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040501,7,Public Housing,2,NA,DE Delaware Kent County 040501,10001040501,31,97,30,100,5,17,3,90,384,425,17875,5958,17,10,24,14,34,50,,47,30,83,63,3,80,97,80,21,,13,,80,17,3,,87,80,,,13,3,3,,7,0,44,76,100,136,,37,63,20,16,56,64,NA,20100,21200,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,30
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041000,7,Public Housing,2,NA,DE Delaware Kent County 041000,10001041000,83,97,81,100,6,10,3.1,249,326,425,14339,4665,17,22,17,13,30,48,7,38,25,89,69,5,73,89,69,18,100,9,6,68,22,4,,88,84,,,12,4,,,4,0,16,70,11,147,10,37,53,12,14,55,41,NA,20100,21200,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,81
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041300,7,Public Housing,2,NA,DE Delaware Kent County 041300,10001041300,56,95,53,100,6,13,2.9,152,234,425,10299,3591,26,32,15,13,15,34,6,49,18,96,79,2,74,96,72,23,100,14,4,72,15,9,2,92,89,,,8,4,,,4,0,13,92,,,,36,64,17,34,56,51,NA,20100,21200,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,53
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041400,7,Public Housing,2,NA,DE Delaware Kent County 041400,10001041400,111,97,108,100,6,14,2.4,262,276,425,12245,5047,12,38,25,8,17,31,6,60,23,96,77,3,45,79,47,35,90,22,4,49,20,27,,89,83,,,11,2,4,,6,1,12,101,53,71,44,11,44,8,25,64,38,NA,20100,21200,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,108
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041500,7,Public Housing,2,NA,DE Delaware Kent County 041500,10001041500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,21200,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041600,7,Public Housing,2,NA,DE Delaware Kent County 041600,10001041600,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,38710,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041701,7,Public Housing,2,NA,DE Delaware Kent County 041701,10001041701,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,81350,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001042201,7,Public Housing,2,NA,DE Delaware Kent County 042201,10001042201,54,94,51,100,6,14,3.6,182,383,889,17129,4800,4,24,27,8,37,49,,47,28,90,65,12,61,82,65,39,57,13,4,61,22,14,,82,75,,,18,2,4,2,8,0,,63,100,157,12,14,75,18,15,37,67,NA,20100,61265,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,51
