year,riverside,eastlake,northeast,wrk,wilmington,delaware
2011,0.2428376535,0.09158751696,0.2917038359,0.1921108353,0.1131357954,0.07663597923
2012,0.2164634146,0.09143968872,0.3436426117,0.1918897637,0.1242016601,0.08363566727
2013,0.2146050671,0.1281869688,0.3294314381,0.203003102,0.1341547948,0.08858435831
2014,0.1762870515,0.1179525223,0.2312680115,0.1639494318,0.1245585679,0.08526580599
2015,0.1731391586,0.0914893617,0.1996007984,0.1457715678,0.1076213911,0.07797778144
2016,0.1098265896,0.09149855908,0.1595303867,0.1124361368,0.1003144309,0.07304850603
2017,0.06275303644,0.1156747695,0.1230769231,0.09598650699,0.08999950214,0.06487682848
2018,0.07131782946,0.1554054054,0.1134185304,0.113373,0.08088810726,0.05906673823
2019,0.07313195548,0.1600279525,0.1037344398,0.1140108512,0.07657920196,0.05342037148
2020,0.08075370121,0.2281341108,0.2953020134,0.1826155275,0.0883283698,0.05576225423
