year,EventId,EventScheduleId,EventType,EventName,FacilityId,FacilityName,AllDay,StartTimeISO8601,EndTimeISO8601,ItemColor,FontColor,top_events,duration,interval,duration_hour,month,location
2020,4,1,P,Yoga/Pilates/Mindfulness with Mara Raskin,6,Virtual Classes,FALSE,2020-05-08 14:00:00 UTC,2020-05-08 15:00:00 UTC,#0000ff,#fff,Other,3600,3600,1,5,Virtual Classes
2020,4,2,P,Yoga/Pilates/Mindfulness with Mara Raskin,6,Virtual Classes,FALSE,2020-05-15 14:00:00 UTC,2020-05-15 15:00:00 UTC,#0000ff,#fff,Other,3600,3600,1,5,Virtual Classes
2020,9,1,P,Census Bureau Forum,1,The Warehouse,FALSE,2020-03-30 16:00:00 UTC,2020-03-30 18:00:00 UTC,#ff8c00,#000,Other,7200,7200,2,3,The Warehouse
2020,11,1,P,MOVE and Inspire,6,Virtual Classes,FALSE,2020-05-04 14:00:00 UTC,2020-05-04 15:00:00 UTC,#ff0000,#fff,Other,3600,3600,1,5,Virtual Classes
2020,11,2,P,MOVE and Inspire,6,Virtual Classes,FALSE,2020-05-11 14:00:00 UTC,2020-05-11 15:00:00 UTC,#ff0000,#fff,Other,3600,3600,1,5,Virtual Classes
2020,12,1,P,Safe & Respectful with Gabby Coleman,6,Virtual Classes,FALSE,2020-05-11 14:00:00 UTC,2020-05-11 15:00:00 UTC,#9900ff,#fff,Other,3600,3600,1,5,Virtual Classes
2020,13,1,P,Our Water/The Nature Conservancy with Rachel Minko,6,Virtual Classes,FALSE,2020-05-05 15:00:00 UTC,2020-05-05 16:00:00 UTC,#9900ff,#fff,Other,3600,3600,1,5,Virtual Classes
2020,13,2,P,Our Water/The Nature Conservancy with Rachel Minko,6,Virtual Classes,FALSE,2020-05-12 15:00:00 UTC,2020-05-12 16:00:00 UTC,#9900ff,#fff,Other,3600,3600,1,5,Virtual Classes
2020,14,1,P,SARC with Rebekah Balmer,6,Virtual Classes,FALSE,2020-05-05 08:00:00 UTC,2020-05-05 08:00:00 UTC,#9900ff,#fff,Other,0,0,,5,Virtual Classes
2020,14,2,P,SARC with Rebekah Balmer,6,Virtual Classes,FALSE,2020-05-12 08:00:00 UTC,2020-05-12 08:00:00 UTC,#9900ff,#fff,Other,0,0,,5,Virtual Classes
2020,15,1,P,Strive Talk,6,Virtual Classes,FALSE,2020-05-05 14:00:00 UTC,2020-05-05 08:00:00 UTC,#ff8c00,#000,Other,-21600,-21600,,5,Virtual Classes
2020,16,1,P,Trap-ish & Paint,-1,,FALSE,2020-05-06 18:00:00 UTC,2020-05-06 19:00:00 UTC,#ff8c00,#000,Other,3600,3600,1,5,Other
